sentence,intent,language
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
no,cancel,en
never,cancel,en
incorrect,cancel,en
not correct,cancel,en
no way,cancel,en
not really,cancel,en
I don't think so,cancel,en
don't like that,cancel,en
this is wrong,cancel,en
it is incorrect,cancel,en
it is not correct,cancel,en
That is wrong,cancel,en
That is incorrect,cancel,en
Does not sound right,cancel,en
Does not seem right,cancel,en
Want to change,cancel,en
No. i want to change,cancel,en
It is not right,cancel,en
