sentence,intent,language
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
Yo,confirm,en
yes,confirm,en
right,confirm,en
correct. go ahead,confirm,en
Yes go ahead,confirm,en
indeed,confirm,en
of course,confirm,en
that sounds good,confirm,en
sounds right,confirm,en
sounds correct,confirm,en
correct,confirm,en
yup,confirm,en
that's right,confirm,en
Go ahead,confirm,en
Please go ahead,confirm,en
That is correct,confirm,en
Yes. confirmed,confirm,en
Seems right,confirm,en
Confirmed,confirm,en
Right it is,confirm,en
Correct you are,confirm,en
You are right,confirm,en
